,eccentricity,inertia_tensor-0-0,major_axis_length,perimeter,solidity,moments_central-3-0,moments_hu-0,moments_hu-1,std_intensity,75th Percentile,iqr
488,0.7685411120000001,3853192.9480000003,7852.114872,41844.68325,0.7439470420000001,750000000000000.0,0.304170595,0.016250566,0.17083257899999998,0.17083257899999998,0.071590028
489,0.7521026359999999,3560833.527,7548.10094,41208.08108,0.806075,2430000000000000.0,0.264010576,0.010840414,0.150852383,0.150852383,0.077384359
490,0.760640082,3638845.5730000003,7631.188908,47007.58555,0.779334167,-2120000000000000.0,0.276601115,0.012675811,0.17689862899999997,0.17689862899999997,0.083108264
491,0.754513343,3630400.9489999996,7621.44893,41199.22827,0.7829705,502000000000000.0,0.276407587,0.012096636000000001,0.187945883,0.187945883,0.08917563199999999
492,0.755469163,3627585.269,7618.603418000001,41910.43956,0.793471542,968000000000000.0,0.27227096,0.011820701999999999,0.188056129,0.188056129,0.092278434
493,0.7555849859999999,3591253.1180000002,7580.372845999999,43305.04468,0.805257042,799000000000000.0,0.265567768,0.01125548,0.177849128,0.177849128,0.091376439
494,0.75353998,3568548.9889999996,7556.300149,40676.01716,0.814487333,2530000000000000.0,0.261456648,0.010745605,0.163780328,0.163780328,0.08598182
495,0.7494488570000001,3665071.867,7657.811418000001,47305.31766,0.755516458,-4270000000000000.0,0.290731196,0.012889508999999999,0.18428067399999998,0.18428067399999998,0.07985542799999999
496,0.752035067,3573762.0760000004,7561.920314,44678.59147,0.801660873,3390000000000000.0,0.266475856,0.011038279,0.19894910899999999,0.19894910899999999,0.100521024
497,0.751464778,3485625.164,7467.990614,47354.61185,0.833735125,-2460000000000000.0,0.25002941,0.009676781,0.15776878,0.15776878,0.08808264
498,0.762707928,3695586.193,7689.634072,41454.41221,0.779106458,5200000000000000.0,0.280313659,0.013219033,0.187800916,0.187800916,0.08831820900000001
499,0.766521124,3689565.2389999996,7683.5526930000005,48093.18894,0.769215333,4210000000000000.0,0.282303751,0.013790706000000002,0.20243384899999997,0.20243384899999997,0.09303023099999999
500,0.7669132009999999,3817402.8680000002,7815.720737999999,48398.10655,0.7456812079999999,1730000000000000.0,0.301189897,0.015743168000000002,0.209990113,0.209990113,0.087956928
501,0.751806395,3524356.894,7509.927022,37413.151789999996,0.8175535420000001,-2820000000000000.0,0.257757602,0.010310318,0.156443527,0.156443527,0.083506067
502,0.764454359,3658438.233,7650.852629000001,44456.92433,0.795605917,4930000000000000.0,0.27122762699999997,0.012536813,0.17368933,0.17368933,0.08633072300000001
503,0.762194535,3716311.93,7711.647861,41351.67924,0.772891958,1690000000000000.0,0.28434459,0.013550398,0.168323794,0.168323794,0.078009028
