eccentricity,extent,moments_hu-0,moments_hu-1,moments_hu-2,euler_number,mean_intensity,std_intensity,25th Percentile,75th Percentile,iqr
0.7445315290000001,0.823447125,0.254618505,0.009531742,1.34e-05,-2,0.084575433,0.182947805,0.084575433,0.182947805,0.09837237199999999
0.741891153,0.860408333,0.235942934,0.008025643,4.86e-06,0,0.073818354,0.18336297899999998,0.073818354,0.18336297899999998,0.109544625
0.745514955,0.846021708,0.24323118600000002,0.008762031,1.1400000000000001e-05,-22,0.077671846,0.18263007399999998,0.077671846,0.18263007399999998,0.104958229
0.751279968,0.844613042,0.24387892,0.009193945,2.1e-05,-13,0.085852119,0.20009409600000003,0.085852119,0.20009409600000003,0.11424197800000001
0.741628864,0.830758375,0.250059618,0.008997164,7.17e-06,-5,0.07852613900000001,0.173903158,0.07852613900000001,0.173903158,0.09537701900000001
0.751990136,0.805466667,0.26348394,0.010788205,3.79e-05,0,0.094839775,0.193248712,0.094839775,0.193248712,0.098408936
0.74530503,0.894266667,0.221339322,0.00724446,4.38e-06,0,0.04819212,0.139911603,0.04819212,0.139911603,0.091719483
0.7499814770000001,0.902016667,0.21802628300000002,0.007277586,6.47e-06,0,0.053077612999999996,0.160617482,0.053077612999999996,0.160617482,0.10753986900000001
0.749061242,0.786160958,0.270940635,0.011162256,4.09e-05,-14,0.12399814599999999,0.237073034,0.12399814599999999,0.237073034,0.113074887
0.750265805,0.845289417,0.244026596,0.009136087,1.62e-05,-2,0.088427771,0.206265064,0.088427771,0.206265064,0.11783729400000001
0.754213459,0.8535779170000001,0.239451998,0.009058086,2.35e-05,-2,0.08419364900000001,0.203171993,0.08419364900000001,0.203171993,0.118978345
0.7396173709999999,0.8375295420000001,0.246012235,0.008578885,7.12e-06,-20,0.07595368400000001,0.173065477,0.07595368400000001,0.173065477,0.097111793
0.745701325,0.8261325420000001,0.252998823,0.009493026,1.83e-05,-8,0.08538687199999999,0.187082844,0.08538687199999999,0.187082844,0.101695972
0.7429689340000001,0.876693542,0.23020698,0.007701657,1.82e-06,-6,0.068676992,0.182560403,0.068676992,0.182560403,0.11388341
0.7515739509999999,0.814582958,0.260450075,0.010508709,1.86e-05,-16,0.102365235,0.21462657100000002,0.102365235,0.21462657100000002,0.11226133599999999
0.745939355,0.9053125,0.21641663,0.006958521,3.47e-06,0,0.050553304,0.155598499,0.050553304,0.155598499,0.105045195
0.7496445279999999,0.810551625,0.26031529800000003,0.010348636,3.0299999999999998e-05,-8,0.10412422,0.215256382,0.10412422,0.215256382,0.111132161
0.753433668,0.839648542,0.246328971,0.0095306,2.6700000000000002e-05,-21,0.08113053099999999,0.187352827,0.08113053099999999,0.187352827,0.106222296
0.7467954720000001,0.859469625,0.236675107,0.008375346,8.41e-06,-8,0.074269853,0.18381587800000002,0.074269853,0.18381587800000002,0.109546025
0.750106763,0.8931415420000001,0.22178768,0.0075378630000000005,9.26e-06,-5,0.05924109,0.16990355399999998,0.05924109,0.16990355399999998,0.110662464
0.7424655290000001,0.874210708,0.228214358,0.007540623000000001,5.28e-06,-21,0.072282918,0.191669399,0.072282918,0.191669399,0.11938648199999999
0.7459761909999999,0.890403125,0.223178667,0.007402184,4.43e-06,-2,0.064137855,0.18121104899999999,0.064137855,0.18121104899999999,0.117073194
0.747192642,0.894706125,0.221563751,0.007361665,4.78e-06,-2,0.055848861,0.16319872900000001,0.055848861,0.16319872900000001,0.107349868
0.7443584059999999,0.7516715829999999,0.295769406,0.012845175,3.5799999999999996e-05,-9,0.121169859,0.21173487300000002,0.121169859,0.21173487300000002,0.090565014
0.744639759,0.799786917,0.26431968899999997,0.01028018,1.93e-05,-17,0.10020421300000001,0.201648474,0.10020421300000001,0.201648474,0.10144426
0.749404238,0.8746875,0.23078923699999998,0.008119708,7.38e-06,0,0.073454743,0.19252684399999997,0.073454743,0.19252684399999997,0.119072101
0.745022029,0.8823594579999999,0.22747720300000002,0.007635743,3.68e-06,-14,0.060847469,0.166297464,0.060847469,0.166297464,0.105449995
0.745749647,0.9125375,0.21442382899999998,0.00682134,1.62e-06,0,0.050027182999999996,0.159331307,0.050027182999999996,0.159331307,0.109304123
0.742912267,0.830595833,0.24981816699999998,0.009065927,1.3000000000000001e-05,0,0.092131511,0.203700938,0.092131511,0.203700938,0.111569427
0.7486008209999999,0.887471542,0.224155173,0.0076140719999999995,8.33e-06,-7,0.066937513,0.18689562,0.066937513,0.18689562,0.119958107
0.751991126,0.8845025,0.22529549999999998,0.007887677,1.31e-05,-12,0.06445788400000001,0.177523829,0.06445788400000001,0.177523829,0.113065945
